STOP_SIGNAL_TASK task	01/01/1900 11:08:50	Subject ID: 000055417875	Task type: Scanning	
Trial	Trial Category	Trial Start Time (Onset)	Pre-determined/randomised onset	Go Stimulus Presentation Time 	Stimulus Presented	Delay	Stop Stimulus Presentation Time	Response made by subject	Absolute Response Time	Relative Response Time	Response Outcome	Real Jitter	Pre-determined Jitter	Success Rate of Variable Delay Stop Trials	Scanner Pulse	
254	GO	479749	479749	479752	LeftArrow			B	480165	413	GO_SUCCESS	894.25	949		479756	
255	STOP_VAR	481698	481698	481701	RightArrow	150	481854				STOP_SUCCESS	943.75	857	52.38	481956	
256	GO	483555	483555	483558	RightArrow			C	484028	470	GO_SUCCESS	848.75	722		484156	
257	GO	485277	485277	485280	LeftArrow			B	485620	340	GO_SUCCESS	715.5	811		486356	
258	GO	487088	487088	487091	RightArrow			C	487436	345	GO_SUCCESS	798.25	813		488556	
259	GO	488901	488901	488904	RightArrow			C	489357	453	GO_SUCCESS	806.75	933		488556	
260	GO	490834	490834	490837	RightArrow			C	491212	375	GO_SUCCESS	921.75	792		490838	
261	GO	492626	492626	492629	LeftArrow			B	493084	455	GO_SUCCESS	786	836		492956	
262	STOP_VAR	494462	494462	494465	LeftArrow	200	494668				STOP_SUCCESS	824	1061	53.49	495164	
263	GO	496523	496523	496526	RightArrow						GO_TOO_LATE	1058.75	900		497356	
264	GO	498423	498423	498426	RightArrow			C	498844	418	GO_SUCCESS	892	889		499564	
265	GO	500312	500312	500315	LeftArrow			B	500692	377	GO_SUCCESS	882.75	881		501764	
266	GO	502193	502193	502196	LeftArrow			B	502588	392	GO_SUCCESS	868.75	706		501764	
267	GO	503899	503899	503902	RightArrow			C	504228	326	GO_SUCCESS	699.5	899		503964	
268	GO	505798	505798	505801	LeftArrow			B	506236	435	GO_SUCCESS	886.25	1062		506164	
269	GO	507860	507860	507863	LeftArrow			B	508244	381	GO_SUCCESS	1055.5	1057		508364	
270	STOP_VAR	509917	509917	509920	RightArrow	250	510173				STOP_SUCCESS	1044.75	984	54.55	510564	
271	GO	511901	511901	511904	LeftArrow			B	512348	444	GO_SUCCESS	982	915		512764	
272	GO	513816	513816	513819	RightArrow			C	514324	505	GO_SUCCESS	902.25	720		514964	
273	GO	515536	515536	515539	RightArrow			C	516004	465	GO_SUCCESS	714	1069		517164	
274	GO	517605	517605	517608	LeftArrow			B	518028	420	GO_SUCCESS	1056.75	929		517164	
275	STOP_VAR	519534	519534	519537	RightArrow	300	519840	C	519940	403	STOP_FAILURE	922.75	1055	53.33	519538	
276	GO	521589	521589	521592	LeftArrow			B	522012	420	GO_SUCCESS	1639.25	767		521592	
277	GO	523356	523356	523359	RightArrow			C	523684	325	GO_SUCCESS	760.25	1057		523772	
278	GO	525413	525413	525416	LeftArrow			B	525756	340	GO_SUCCESS	1044.75	981		525972	
279	GO	527394	527394	527398	LeftArrow			B	528236	838	GO_SUCCESS	974.75	955		528172	
280	GO	529349	529349	529352	LeftArrow			B	530020	668	GO_SUCCESS	942.25	774		530372	
281	GO	531123	531123	531126	RightArrow			C	531660	534	GO_SUCCESS	767.5	706		532572	
282	STOP_VAR	532829	532829	532832	RightArrow	350	533185	C	533276	444	STOP_FAILURE	693.5	838	52.17	532572	
283	GO	534667	534667	534670	RightArrow			C	535268	598	GO_SUCCESS	1378.5	1033		534772	
284	GO	536700	536700	536703	RightArrow			C	537156	453	GO_SUCCESS	1020.75	987		536972	
285	GO	538687	538687	538690	RightArrow			C	539068	378	GO_SUCCESS	981.25	786		539172	
286	GO	540473	540473	540477	LeftArrow			B	540884	407	GO_SUCCESS	773.5	808		541380	
287	GO	542281	542281	542284	RightArrow			C	542660	376	GO_SUCCESS	802	782		543572	
288	GO	544063	544063	544066	RightArrow			C	544500	434	GO_SUCCESS	769.5	1085		545780	
289	GO	546148	546148	546151	LeftArrow			B	546508	357	GO_SUCCESS	1079.75	1058		545780	
290	STOP_VAR	548206	548206	548209	RightArrow	400	533185	C	548580	371	STOP_TOO_EARLY_RESPONSE	1045.5	872	52.17	548210	
290	STOP_VAR	549258	548206	549262	RightArrow	350	549615	C	549756	494	STOP_FAILURE	1496	872	51.06	550180	
291	GO	550601	550078	550604	LeftArrow			B	551116	512	GO_SUCCESS	1205	968		550180	
292	GO	552354	552046	552358	RightArrow			C	552748	390	GO_SUCCESS	963	891		552380	
293	GO	554057	553937	554061	RightArrow			C	554404	343	GO_SUCCESS	878.25	914		554580	
294	GO	555851	555851	555854	LeftArrow			B	556380	526	GO_SUCCESS	907.5	834		556780	
295	GO	557685	557685	557688	RightArrow			C	558157	469	GO_SUCCESS	822.5	957		558980	
296	GO	559642	559642	559645	LeftArrow			B	560060	415	GO_SUCCESS	951.75	981		561180	
297	STOP_VAR	561623	561623	561626	LeftArrow	400	562029	B	562036	410	STOP_FAILURE	969.75	999	50.00	561180	
298	GO	563622	563622	563625	RightArrow			C	563996	371	GO_SUCCESS	1489.25	719		563626	
299	GO	565341	565341	565344	LeftArrow			B	565836	492	GO_SUCCESS	707.25	962		565588	
300	GO	567303	567303	567306	LeftArrow			B	567820	514	GO_SUCCESS	956.5	924		567780	
301	STOP_VAR	569227	569227	569230	LeftArrow	400	569633	B	569684	454	STOP_FAILURE	913	1059	48.98	569988	
302	GO	571286	571286	571289	LeftArrow			B	571669	380	GO_SUCCESS	1550.25	891		572180	
303	GO	573177	573177	573180	LeftArrow						GO_TOO_LATE	879.25	988		574388	
304	GO	575165	575165	575168	LeftArrow			B	575532	364	GO_SUCCESS	986	979		576588	
305	STOP_VAR	577144	577144	577147	LeftArrow	350	577500	B	577588	441	STOP_FAILURE	967.25	998	48.00	576588	
306	GO	579142	579142	579145	LeftArrow			B	579572	427	GO_SUCCESS	1539.5	1071		579146	
307	GO	581213	581213	581216	LeftArrow			B	581636	420	GO_SUCCESS	1059.25	823		581217	
308	GO	583036	583036	583039	RightArrow			C	583436	397	GO_SUCCESS	817.25	1078		583188	
309	STOP_VAR	585114	585114	585117	RightArrow	300	585420				STOP_SUCCESS	1066.5	994	49.02	585388	
310	GO	587108	587108	587111	RightArrow			C	587588	477	GO_SUCCESS	991.5	789		587588	
311	GO	588897	588897	588900	RightArrow			C	589404	504	GO_SUCCESS	777.75	766		589788	
312	GO	590663	590663	590666	LeftArrow			B	591316	650	GO_SUCCESS	760.5	930		591988	
313	GO	592593	592593	592596	LeftArrow			B	593532	936	GO_SUCCESS	918.5	958		594196	
314	GO	594551	594551	594554	LeftArrow			B	594956	402	GO_SUCCESS	952.5	859		594196	
315	STOP_VAR	596410	596410	596413	RightArrow	250	596666				STOP_SUCCESS	847.25	785	50.00	596414	
316	GO	598195	598195	598198	LeftArrow			B	598852	654	GO_SUCCESS	782.75	1099		598596	
317	GO	600294	600294	600297	RightArrow			C	600932	635	GO_SUCCESS	1087.25	727		600796	
318	GO	602021	602021	602024	LeftArrow			B	602428	404	GO_SUCCESS	721.25	1014		602996	
319	GO	604035	604035	604038	RightArrow			C	604444	406	GO_SUCCESS	1002.5	803		605196	
320	GO	605838	605838	605841	LeftArrow			B	606348	507	GO_SUCCESS	797.25	772		607395	
321	GO	607610	607610	607613	RightArrow			C	607956	343	GO_SUCCESS	761	1025		607395	
322	STOP_VAR	609635	609635	609638	RightArrow	250	609891	C	610076	438	STOP_FAILURE	1019.75	915	49.06	609639	
323	GO	611550	611550	611553	LeftArrow			B	612196	643	GO_SUCCESS	1348.25	704		611795	
324	GO	613254	613254	613257	LeftArrow			B	613740	483	GO_SUCCESS	699	884		613995	
325	GO	615138	615138	615141	LeftArrow			B	615500	359	GO_SUCCESS	873	716		616195	
326	GO	616854	616854	616857	LeftArrow			B	617348	491	GO_SUCCESS	711	724		616195	
327	STOP_VAR	618578	618578	618581	LeftArrow	200	618784				STOP_SUCCESS	713	907	50.00	618413	
328	GO	620485	620485	620488	LeftArrow			B	621484	996	GO_SUCCESS	904.25	935		620603	
329	GO	622420	622420	622423	LeftArrow						GO_TOO_LATE	923.25	1073		622803	
330	GO	624493	624493	624496	RightArrow			C	625428	932	GO_SUCCESS	1070.75	774		625003	
331	GO	626267	626267	626270	LeftArrow			B	626676	406	GO_SUCCESS	762.5	868		627203	
332	GO	628135	628135	628138	RightArrow			C	628428	290	GO_SUCCESS	863	1037		629403	
333	GO	630172	630172	630175	RightArrow			C	630620	445	GO_SUCCESS	1025.75	719		631603	
334	STOP_VAR	631891	631891	631894	LeftArrow	200	632097				STOP_SUCCESS	713.25	730	50.91	631603	
335	GO	633621	633621	633624	LeftArrow			B	634036	412	GO_SUCCESS	721.5	815		633803	
336	GO	635436	635436	635439	RightArrow			C	635844	405	GO_SUCCESS	809.25	916		636003	
337	GO	637352	637352	637355	LeftArrow			B	637860	505	GO_SUCCESS	905	951		638203	
338	GO	639303	639303	639306	RightArrow			C	640132	826	GO_SUCCESS	945.25	754		640411	
339	GO	641057	641057	641060	LeftArrow			B	641651	591	GO_SUCCESS	742.5	1090		642603	
340	STOP_VAR	643147	643147	643150	RightArrow	250	643403	C	643531	381	STOP_FAILURE	1083.5	815	50.00	642603	
341	GO	644962	644962	644965	LeftArrow			B	645332	367	GO_SUCCESS	1247.25	1086		644966	
342	GO	647048	647048	647052	RightArrow			C	647700	648	GO_SUCCESS	1080.5	804		647052	
343	GO	648852	648852	648855	RightArrow						GO_TOO_LATE	792	790		649211	
344	GO	650642	650642	650645	RightArrow			C	651035	390	GO_SUCCESS	787.5	968		651411	
345	GO	652610	652610	652613	LeftArrow			B	653107	494	GO_SUCCESS	956	805		653611	
346	STOP_VAR	654415	654415	654418	RightArrow	250	654671	C	654787	369	STOP_FAILURE	798.75	737	49.12	653611	
347	GO	656152	656152	656155	RightArrow			C	656859	704	GO_SUCCESS	1169.75	1033		656156	
348	GO	658185	658185	658188	RightArrow			C	658987	799	GO_SUCCESS	1026.75	755		658189	
349	GO	659940	659940	659943	RightArrow			C	660627	684	GO_SUCCESS	742.25	748		660211	
350	GO	661688	661688	661691	RightArrow			C	662163	472	GO_SUCCESS	742	959		662411	
351	STOP_VAR	663647	663647	663650	LeftArrow	200	663853				STOP_SUCCESS	946.25	953	50.00	664619	
352	GO	665600	665600	665603	LeftArrow			B	665971	368	GO_SUCCESS	950.75	1086		666811	
353	GO	667686	667686	667689	RightArrow			C	667995	306	GO_SUCCESS	1072.5	1016		669019	
354	GO	669702	669702	669705	LeftArrow			B	670035	330	GO_SUCCESS	1010	890		671219	
355	GO	671592	671592	671595	RightArrow			C	672043	448	GO_SUCCESS	877.5	1000		671219	
356	GO	673592	673592	673595	RightArrow			C	674011	416	GO_SUCCESS	994	844		673596	
357	STOP_VAR	675436	675436	675439	LeftArrow	200	675642				STOP_SUCCESS	832	886	50.85	675619	
358	GO	677322	677322	677325	RightArrow			C	677715	390	GO_SUCCESS	883.5	803		677819	
359	GO	679125	679125	679128	RightArrow			C	679555	427	GO_SUCCESS	790.25	962		680020	
360	GO	681087	681087	681090	LeftArrow			B	681475	385	GO_SUCCESS	955.5	973		682219	
361	GO	683060	683060	683063	LeftArrow			B	683507	444	GO_SUCCESS	960.75	863		684419	
362	GO	684923	684923	684926	RightArrow			C	685459	533	GO_SUCCESS	856.25	988		686619	
363	GO	686911	686911	686914	RightArrow			C	687571	657	GO_SUCCESS	976	705		686619	
364	STOP_VAR	688616	688616	688619	RightArrow	250	688872				STOP_SUCCESS	698.75	920	51.67	688827	
365	GO	690536	690536	690539	RightArrow			C	690907	368	GO_SUCCESS	912	1022		691019	
366	GO	692558	692558	692561	LeftArrow			B	693019	458	GO_SUCCESS	1015.5	829		693227	
367	GO	694387	694387	694390	LeftArrow			B	694827	437	GO_SUCCESS	816.75	911		695419	
368	GO	696298	696298	696301	RightArrow			C	696747	446	GO_SUCCESS	904.25	928		697628	
369	GO	698226	698226	698229	LeftArrow			B	698627	398	GO_SUCCESS	916	743		697628	
370	STOP_VAR	699969	699969	699972	LeftArrow	300	700275	B	700419	447	STOP_FAILURE	737.25	970	50.82	699973	
371	GO	701939	701939	701942	RightArrow			C	702467	525	GO_SUCCESS	1353.5	848		702027	
372	GO	703787	703787	703790	RightArrow			C	704276	486	GO_SUCCESS	842	1073		704227	
373	GO	705860	705860	705863	RightArrow			C	706339	476	GO_SUCCESS	1060.75	1025		706427	
374	GO	707885	707885	707888	LeftArrow			B	708587	699	GO_SUCCESS	1019.75	1088		708627	
375	STOP_VAR	709973	709973	709976	LeftArrow	350	710329				STOP_SUCCESS	1076	786	51.61	710827	
376	GO	711759	711759	711762	RightArrow			C	712155	393	GO_SUCCESS	783.5	920		713027	
377	GO	713679	713679	713682	LeftArrow			B	714051	369	GO_SUCCESS	908	824		715227	
378	GO	715503	715503	715506	LeftArrow			B	716171	665	GO_SUCCESS	819	836		715227	
379	STOP_VAR	717339	717339	717342	RightArrow	400	717745				STOP_SUCCESS	824	778	52.38	717435	
380	GO	719117	719117	719120	LeftArrow			B	719563	443	GO_SUCCESS	775.5	1079		719635	
381	GO	721196	721196	721199	LeftArrow						GO_TOO_LATE	1066.25	792		721835	
382	GO	722988	722988	722991	RightArrow			C	723363	372	GO_SUCCESS	790	852		724035	
383	GO	724840	724840	724843	RightArrow			C	725227	384	GO_SUCCESS	840	887		726235	
384	GO	726727	726727	726730	RightArrow			C	727307	577	GO_SUCCESS	881.25	813		726235	
385	STOP_VAR	728540	728540	728543	LeftArrow	450	728996	B	729067	524	STOP_FAILURE	800.75	921	51.56	728544	
386	GO	730461	730461	730464	RightArrow			C	730827	363	GO_SUCCESS	1361.75	883		730636	
387	GO	732344	732344	732347	LeftArrow			B	732723	376	GO_SUCCESS	870.25	721		732835	
388	GO	734065	734065	734068	RightArrow			C	734619	551	GO_SUCCESS	715.75	929		735035	
389	GO	735994	735994	735997	RightArrow						GO_TOO_LATE	916.75	831		737235	
390	GO	737825	737825	737828	LeftArrow			B	738155	327	GO_SUCCESS	828.25	1071		739443	
391	STOP_VAR	739896	739896	739899	RightArrow	500	728996	C	740171	272	STOP_TOO_EARLY_RESPONSE	1058.25	729	51.56	739443	
391	STOP_VAR	740742	739896	740746	RightArrow	450	741199	C	741363	617	STOP_FAILURE	1451.75	729	50.77	741643	
392	GO	742078	741625	742082	RightArrow			C	742491	409	GO_SUCCESS	960.75	847		741643	
393	GO	743742	743472	743746	LeftArrow			B	744211	465	GO_SUCCESS	840.25	892		743843	
394	GO	745445	745364	745449	LeftArrow			B	746275	826	GO_SUCCESS	879	816		746043	
395	GO	747180	747180	747183	LeftArrow			B	747571	388	GO_SUCCESS	810	1052		748243	
396	GO	749232	749232	749235	LeftArrow			B	749651	416	GO_SUCCESS	1040	798		750443	
397	GO	751030	751030	751033	LeftArrow			B	751555	522	GO_SUCCESS	792.5	799		750443	
398	STOP_VAR	752829	752829	752832	LeftArrow	500	741199	B	753315	483	STOP_TOO_EARLY_RESPONSE	786.25	971	50.77	752646	
398	STOP_VAR	754068	752829	754072	LeftArrow	450	741199	B	754507	435	STOP_TOO_EARLY_RESPONSE	1482.25	971	50.77	754843	
399	GO	755266	754800	755270	LeftArrow			B	755683	413	GO_SUCCESS	1522.25	1047		757043	
400	GO	757080	756847	757083	LeftArrow			B	757595	512	GO_SUCCESS	1040.25	1077		757043	
401	GO	758924	758924	758927	LeftArrow			B	759395	468	GO_SUCCESS	1064.75	927		759251	
402	STOP_VAR	760851	760851	760854	LeftArrow	400	761257	B	761283	429	STOP_FAILURE	921.25	805	50.00	761443	
403	GO	762656	762656	762660	LeftArrow			B	763027	367	GO_SUCCESS	1289.75	711		763651	
404	GO	764367	764367	764370	RightArrow			C	764779	409	GO_SUCCESS	704.25	879		765843	
405	GO	766246	766246	766249	LeftArrow			B	766627	378	GO_SUCCESS	866.25	810		765843	
406	GO	768056	768056	768059	RightArrow			C	768459	400	GO_SUCCESS	804.5	981		768060	
407	GO	770037	770037	770040	RightArrow			C	770427	387	GO_SUCCESS	968.75	760		770251	
408	GO	771797	771797	771800	LeftArrow			B	772219	419	GO_SUCCESS	755	1029		772450	
409	STOP_VAR	773826	773826	773829	RightArrow	400	761257	C	774155	326	STOP_TOO_EARLY_RESPONSE	1017.75	804	50.00	774650	
409	STOP_VAR	774782	773826	774785	RightArrow	350	775138				STOP_SUCCESS	1473	804	50.75	774650	
410	GO	776415	775630	776419	RightArrow			C	777211	792	GO_SUCCESS	796	780		776850	
411	GO	778028	777410	778031	LeftArrow			B	778435	404	GO_SUCCESS	774	720		779050	
412	GO	779601	779130	779605	RightArrow			C	779939	334	GO_SUCCESS	709	750		779050	
413	GO	781192	780880	781196	RightArrow			C	781667	471	GO_SUCCESS	743.5	724		781250	
414	GO	782769	782604	782773	LeftArrow			C	783115	342	GO_WRONG_KEY_RESPONSE	711	984		783450	
415	GO	784588	784588	784591	LeftArrow			B	785035	444	GO_SUCCESS	978	880		785650	
416	GO	786468	786468	786471	RightArrow			C	786827	356	GO_SUCCESS	868	711		787858	
417	STOP_VAR	788179	788179	788182	LeftArrow	400	788585	B	788659	477	STOP_FAILURE	705.25	801	50.00	787858	
418	GO	789980	789980	789983	RightArrow			C	790355	372	GO_SUCCESS	1284.75	992		790050	
419	GO	791972	791972	791975	LeftArrow			B	792346	371	GO_SUCCESS	987	1099		792259	
420	GO	794071	794071	794074	RightArrow			C	794379	305	GO_SUCCESS	1085.25	838		794458	
421	STOP_VAR	795909	795909	795912	LeftArrow	400	796316	B	796347	435	STOP_FAILURE	832.5	808	49.28	796658	
422	GO	797717	797717	797720	LeftArrow			B	798115	395	GO_SUCCESS	1292	1082		798858	
423	GO	799799	799799	799802	LeftArrow			B	800395	593	GO_SUCCESS	1076.5	797		801058	
424	GO	801596	801596	801599	LeftArrow			B	802235	636	GO_SUCCESS	785.75	772		801058	
425	STOP_VAR	803368	803368	803371	RightArrow	350	803724	C	803747	376	STOP_FAILURE	767	940	48.57	803372	
426	GO	805308	805308	805311	RightArrow			C	805635	324	GO_SUCCESS	1475	701		805458	
427	GO	807009	807009	807012	LeftArrow			B	807594	582	GO_SUCCESS	695.75	880		807658	
428	GO	808889	808889	808892	LeftArrow			B	809491	599	GO_SUCCESS	868	908		809858	
429	GO	810797	810797	810800	RightArrow			C	811458	658	GO_SUCCESS	903	735		812058	
430	GO	812532	812532	812535	RightArrow			C	813242	707	GO_SUCCESS	722.25	1089		814266	
431	GO	814621	814621	814624	RightArrow			C	814978	354	GO_SUCCESS	1082.75	821		814266	
432	GO	816442	816442	816445	RightArrow			C	816818	373	GO_SUCCESS	807.75	954		816466	
433	STOP_VAR	818396	818396	818399	RightArrow	300	818702	C	818810	411	STOP_FAILURE	947.5	889	47.89	818666	
434	GO	820285	820285	820288	RightArrow			C	820650	362	GO_SUCCESS	1271.75	802		820866	
435	GO	822087	822087	822090	LeftArrow			B	822522	432	GO_SUCCESS	795.5	852		823066	
436	GO	823939	823939	823942	RightArrow			C	824386	444	GO_SUCCESS	839	1088		825266	
437	GO	826027	826027	826030	LeftArrow			B	826466	436	GO_SUCCESS	1082	840		827466	
438	GO	827867	827867	827870	LeftArrow			B	828690	820	GO_SUCCESS	828	707		827466	
439	GO	829574	829574	829577	LeftArrow						GO_TOO_LATE	700.25	703		829666	
440	STOP_VAR	831277	831277	831280	LeftArrow	250	831533	B	831698	418	STOP_FAILURE	694.25	1041	47.22	831866	
441	GO	833318	833318	833321	RightArrow			C	833714	393	GO_SUCCESS	1480.75	822		834074	
442	GO	835140	835140	835143	LeftArrow			B	835658	515	GO_SUCCESS	809.5	792		836266	
443	GO	836932	836932	836935	RightArrow			C	837466	531	GO_SUCCESS	786	825		838474	
444	STOP_VAR	838757	838757	838760	LeftArrow	200	838963				STOP_SUCCESS	812.75	750	47.95	838474	
445	GO	840507	840507	840510	RightArrow			C	840930	420	GO_SUCCESS	747.5	1051		840674	
446	GO	842558	842558	842561	LeftArrow			B	842954	393	GO_SUCCESS	1037.25	1080		842874	
447	GO	844638	844638	844641	RightArrow			C	845042	401	GO_SUCCESS	1075	823		845074	
448	GO	846461	846461	846464	RightArrow			C	846930	466	GO_SUCCESS	810.25	1009		847274	
449	GO	848470	848470	848473	RightArrow			C	848818	345	GO_SUCCESS	1002.75	1037		849474	
450	GO	850507	850507	850510	RightArrow			C	850914	404	GO_SUCCESS	1024.75	1041		851674	
451	GO	852548	852548	852551	LeftArrow			B	852987	436	GO_SUCCESS	1034.75	1097		853874	
452	STOP_VAR	854645	854645	854648	LeftArrow	150	854801				STOP_SUCCESS	1084.75	907	48.65	856074	
453	GO	856552	856552	856555	LeftArrow			B	857394	839	GO_SUCCESS	904.25	972		858282	
454	GO	858524	858524	858527	RightArrow			C	858978	451	GO_SUCCESS	959	909		858282	
455	GO	860433	860433	860436	LeftArrow			B	861034	598	GO_SUCCESS	902.75	968		860474	
456	STOP_VAR	862401	862401	862404	RightArrow	100	862507				STOP_SUCCESS	956	945	49.33	862682	
457	GO	864346	864346	864349	RightArrow			C	864930	581	GO_SUCCESS	942.75	708		864874	
458	GO	866054	866054	866057	LeftArrow			B	866554	497	GO_SUCCESS	696	1039		867082	
459	GO	868093	868093	868096	RightArrow			C	868666	570	GO_SUCCESS	1032.25	1039		869282	
460	GO	870132	870132	870135	LeftArrow			B	870538	403	GO_SUCCESS	1026.25	809		871482	
461	GO	871941	871941	871944	LeftArrow			B	872394	450	GO_SUCCESS	803.75	800		871482	
462	GO	873741	873741	873744	LeftArrow			B	874314	570	GO_SUCCESS	788	953		873745	
463	STOP_VAR	875694	875694	875697	RightArrow	50	875750				STOP_SUCCESS	947.75	993	50.00	875882	
464	GO	877687	877687	877690	LeftArrow			B	878074	384	GO_SUCCESS	983.75	815		878082	
465	GO	879502	879502	879505	RightArrow			C	880042	537	GO_SUCCESS	809.25	1060		880282	
466	GO	881562	881562	881566	LeftArrow			B	881930	364	GO_SUCCESS	1048	867		882482	
467	GO	883429	883429	883432	RightArrow			C	883778	346	GO_SUCCESS	860.25	962		884682	
468	GO	885391	885391	885394	LeftArrow			B	885786	392	GO_SUCCESS	949.5	1022		886890	
469	GO	887413	887413	887416	RightArrow			C	887874	458	GO_SUCCESS	1016.5	832		886890	
470	STOP_VAR	889245	889245	889248	RightArrow	50	889301				STOP_SUCCESS	820	893	50.65	889249	
471	GO	891138	891138	891141	LeftArrow			B	891482	341	GO_SUCCESS	890.75	971		891290	
472	GO	893109	893109	893112	LeftArrow			B	893626	514	GO_SUCCESS	958.25	793		893490	
473	GO	894902	894902	894905	RightArrow			C	895290	385	GO_SUCCESS	787.75	989		895690	
474	GO	896891	896891	896894	RightArrow			C	897354	460	GO_SUCCESS	976.75	758		897890	
475	GO	898649	898649	898652	LeftArrow			B	899114	462	GO_SUCCESS	752.5	716		900090	
476	STOP_VAR	900365	900365	900368	RightArrow	100	900471				STOP_SUCCESS	704	715	51.28	900090	
477	GO	902080	902080	902083	RightArrow			C	902530	447	GO_SUCCESS	712.25	957		902290	
478	GO	904037	904037	904040	LeftArrow			B	904450	410	GO_SUCCESS	944.75	746		904490	
479	GO	905783	905783	905786	RightArrow			C	906162	376	GO_SUCCESS	740.5	822		906690	
480	STOP_VAR	907605	907605	907608	LeftArrow	150	907761	B	907962	354	STOP_FAILURE	809.5	-908605	50.63	906690	
	
