STOP_SIGNAL_TASK task	01/01/1900 11:08:50	Subject ID: 000055417875	Task type: Scanning	
Trial	Trial Category	Trial Start Time (Onset)	Pre-determined/randomised onset	Go Stimulus Presentation Time 	Stimulus Presented	Delay	Stop Stimulus Presentation Time	Response made by subject	Absolute Response Time	Relative Response Time	Response Outcome	Real Jitter	Pre-determined Jitter	Success Rate of Variable Delay Stop Trials	Scanner Pulse	
62	GO	116340	116340	116343	LeftArrow			B	116711	368	GO_SUCCESS	715.75	1075		116639	
63	GO	118415	118415	118418	LeftArrow			B	118871	453	GO_SUCCESS	1064.25	886		118839	
64	STOP_VAR	120301	120301	120304	LeftArrow	200	120507				STOP_SUCCESS	880.5	975	60.00	121039	
65	GO	122276	122276	122279	LeftArrow			B	122687	408	GO_SUCCESS	967.25	893		123239	
66	GO	124169	124169	124172	RightArrow			C	124687	515	GO_SUCCESS	887.75	903		125447	
67	GO	126072	126072	126075	RightArrow			C	126511	436	GO_SUCCESS	892.25	1094		127639	
68	STOP_VAR	128166	128166	128169	RightArrow	250	128422	C	128559	390	STOP_FAILURE	1088.5	1017	54.55	127639	
69	GO	130183	130183	130186	LeftArrow			B	130591	405	GO_SUCCESS	1452.75	709		130187	
70	GO	131892	131892	131895	RightArrow			C	132271	376	GO_SUCCESS	703.75	1047		132047	
71	GO	133939	133939	133942	RightArrow			C	134487	545	GO_SUCCESS	1036.25	715		134246	
72	GO	135654	135654	135657	RightArrow			C	136039	382	GO_SUCCESS	708.25	985		136446	
73	GO	137639	137639	137642	RightArrow			C	138303	661	GO_SUCCESS	974.75	717		138646	
74	STOP_VAR	139356	139356	139359	LeftArrow	300	139662	B	139767	408	STOP_FAILURE	711.75	792	50.00	138646	
75	GO	141148	141148	141151	LeftArrow			B	141615	464	GO_SUCCESS	1178	708		141152	
76	GO	142856	142856	142859	RightArrow			C	143231	372	GO_SUCCESS	703	965		143046	
77	GO	144821	144821	144824	LeftArrow			B	145167	343	GO_SUCCESS	954.75	942		145255	
78	GO	146763	146763	146766	LeftArrow			B	147191	425	GO_SUCCESS	936.5	750		147446	
79	STOP_VAR	148513	148513	148516	RightArrow	300	148819				STOP_SUCCESS	737.5	709	53.85	149654	
80	GO	150222	150222	150225	RightArrow			C	150687	462	GO_SUCCESS	706.75	744		149654	
81	GO	151966	151966	151969	RightArrow			C	152591	622	GO_SUCCESS	731	729		151970	
82	GO	153695	153695	153699	RightArrow			C	154055	356	GO_SUCCESS	723.75	788		154054	
83	GO	155483	155483	155486	RightArrow			C	155823	337	GO_SUCCESS	775	969		156246	
84	GO	157452	157452	157455	LeftArrow			B	157895	440	GO_SUCCESS	963.75	868		158454	
85	GO	159320	159320	159323	RightArrow			C	159655	332	GO_SUCCESS	856	1091		160654	
86	GO	161411	161411	161414	LeftArrow			B	161735	321	GO_SUCCESS	1085.25	919		162854	
87	STOP_VAR	163330	163330	163333	RightArrow	350	163686	C	163695	362	STOP_FAILURE	906.25	1055	50.00	162854	
88	GO	165385	165385	165388	RightArrow			C	165726	338	GO_SUCCESS	1595.25	808		165389	
89	GO	167193	167193	167196	LeftArrow			B	167606	410	GO_SUCCESS	794	1001		167254	
90	GO	169194	169194	169198	RightArrow			C	169590	392	GO_SUCCESS	994.75	1083		169454	
91	GO	171277	171277	171280	RightArrow			C	171598	318	GO_SUCCESS	1068.25	1040		171654	
92	GO	173317	173317	173320	RightArrow			C	173639	319	GO_SUCCESS	1034	721		173854	
93	GO	175038	175038	175041	RightArrow			C	175814	773	GO_SUCCESS	707.75	870		176054	
94	STOP_VAR	176908	176908	176911	LeftArrow	350	177264	B	177310	399	STOP_FAILURE	863.5	916	46.67	176054	
95	GO	178824	178824	178827	RightArrow			C	179110	283	GO_SUCCESS	1448	874		180454	
96	GO	180698	180698	180701	RightArrow			C	181046	345	GO_SUCCESS	867.5	901		180454	
97	GO	182599	182599	182602	RightArrow			C	182902	300	GO_SUCCESS	887.75	893		182662	
98	GO	184492	184492	184495	RightArrow			C	184878	383	GO_SUCCESS	886.75	1014		184862	
